id,name,url,slugintern,flattrhandle,twitterhandle,hoersuppeslug,feedurl,artistname,created_at,updated_at,description
1,Hoersuppe,http://hoersuppe.de/,hoersuppe,eazyliving,@hoersuppe,,http://hoersuppe.de/vcmp3/,@hoersuppe,2013-03-08 13:07:15 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
2,Wikigeeks,http://wikigeeks.de/,wikigeeks,wikigeeks,@wikigeeks_de,wikigeeks,http://www.wikigeeks.de/feed/mp3,@wikigeeks_de,2013-03-08 14:01:12 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
3,Luftpost Podcast,http://luftpost-podcast.de/,luftpost,danielbuechele,@luftpostpodcast,luftpost,http://luftpost-podcast.de/feed/podcast,@luftpostpodcast,2013-03-08 14:20:33 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
4,Nettes Frettchen,http://nettesfrettchen.podcaster.de/,nettesfrettchen,,@uwebaltner,,http://nettesfrettchen.podcaster.de/feedburner.rss,@uwebaltner,2013-03-09 15:58:27 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
5,Fressefreiheit,http://www.denkdreck.de/,fressefreiheit,linamadita,@fressefreiheit1,fressefreiheit,http://www.denkdreck.de/?cat=321&feed=rss2,@fressefreiheit1,2013-03-09 15:58:27 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
6,Podsafe Metal Pilot,http://www.podsafepilot.com/,podsafemetalpilot,podsafepilot,@podsafepilot,,http://www.podsafepilot.com/?feed=podsafe-metal-pilot,@podsafepilot,2013-03-09 15:58:27 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
7,Binärgewitter,http://blog.binaergewitter.de/,binaergewitter,binaergewitter,@binaergewitter,binaergewitter,http://feeds.feedburner.com/binaergewitter-podcast,@binaergewitter,2013-03-09 15:58:27 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
8,Radio Tux,http://www.radiotux.de/,radiotux,radiotux,@radiotux,radiotux,http://prometheus.radiotux.de/index.php?/feeds/index.rss2,@radiotux,2013-03-09 15:58:27 UTC,2013-03-09 15:58:27 UTC,Keine Beschreibung vorhanden.
9,Teezeit Talkradio,http://www.teezeit.org/,teezeit,netzzwerk,@teezeitpodcasts,teezeit,http://teezeit.org/feed/mp3/,@teezeitpodcasts,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
10,keins3itensprungc4st,http://julp.moepmoep.com/podcasts/keins3itensprungc4st/,keins3itensprungc4st,julp83,,keins3itensprungc4st,http://julp.moepmoep.com/category/keins3itensprungc4st/feed/,keins3itensprungc4st,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
11,Jobscast,http://www.jobscast.de/,jobscast,danielautenrieth,@dautenrieth,jobscast,http://jobscast.de/?feed=podcast,@dautenrieth,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
12,Schachcast,http://schachcast.moepmoep.com/,schachcast,schachcast,@schachcast,schachcast,http://schachcast.moepmoep.com/category/podcast/schachcast/feed/,@schachcast,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
13,Sunday Moaning,http://fracker.moepmoep.com/podcast-2/sunday-moaning/,sundaymoaning,frjbd,@sundaymoanin,sunday-moaning,http://fracker.moepmoep.com/category/podcasts/sundaymoaning/feed/,@sundaymoanin,2013-03-09 15:59:27 UTC,2013-03-09 15:59:27 UTC,Keine Beschreibung vorhanden.
